21.88095,23.13129
41.26122,38.76054
71.89455,40.01088
97.52651,38.13537
120.65781,41.26122
139.41290,29.38299
125.65916,83.14761
121.28297,161.29385
119.40746,268.82309
118.78230,361.97342
121.90814,436.36865
121.28297,530.76929
128.15985,582.03326
112.53059,583.28357
86.27345,580.15771
65.01768,574.53119
40.01088,569.52985
18.12993,553.27545
35.63469,520.76660
42.51156,491.38361
41.88639,448.87204
36.25986,384.47952
35.00952,335.71628
37.51020,271.94894
33.13401,174.42242
36.25986,113.78094
32.50884,78.14625
26.88231,50.01360
